Date,Assigned to,Newspaper,Link,Section,Key words,Opinion adm,Opinion CDC,Briefly observation,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/coronavirus-in-ny-nyc-schools-will-close/,Metro,last resort,nada,nada,"The city now “must develop a plan within the next 24 hours to ensure children who rely on school breakfast and lunch programs will continue to receive that support, and parents",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/gov-cuomo-to-pols-do-your-job-in-albany-despite-coronavirus/,Metro,firmness,nada,nada,"It’s not like they’re working in a hospital or taking blood, they’re working in a state Capitol, reading paper and passing bills",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/brooklyn-queens-diocese-cancels-mass-after-confirmed-coronavirus-case/,Metro,logical,0,nada,It’s very symbolic of change for me,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/nyc-taxis-struggle-to-make-ends-meet-amid-coronavirus-scare/,Metro,sadness,nada,nada,Our pockets are empty,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/box-office-plunges-to-lowest-level-in-over-two-decades-amid-coronavirus/,Entertaiment,collapse,nada,nada,Ticket sales in North America hit the lowest levels in more than two decades,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/coronavirus-in-ny-lirr-worker-tests-positive-for-virus/,Metro,new infections,nada,nada,"We expect to see additional cases reported as testing continues to ramp up, which will help us contain the spread of this virus",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/biden-sanders-to-face-off-at-democratic-debate-in-shadow-of-coronavirus-crisis/,News,first head-to-head,0,nada,"People have been anxious to beat Trump, but now with coronavirus they are just anxious",,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/tips-for-if-youre-let-go-because-of-coronavirus/,Business,"Unemployment,  employers terminate workers, Workers fired ",Nada,1,Employment attorneys and other experts are being flooded with queries from people lacking immediate answers on their most basic rights in these unprecedented times,,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/coronavirus-supply-shortage-vexes-forest-hills-clinic-owner/,Business,"Coronavirus supply shortages, pandemic has been tough on small businesses",Nada,Nada,"“We have been waiting for the regular surgical masks for the last three weeks,” he said. “We are also very short on coronavirus testing kits.”",,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/man-robbed-at-gunpoint-after-coronavirus-related-release-from-rikers/,Metro,victim is a defendant awaiting trial,Nada,Nada,,,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/fda-issues-emergency-approval-for-faster-on-site-coronavirus-tests/,News,FDA approval for rapid COVID TESTS,1,Nada,"“Today marks an important step in expanding the availability of testing and, importantly, rapid results,” said FDA Commissioner Stephen Hahn in a statement to the outlet.",,,,,,,,,,,
